"id; genres;  homepage; title_movie; production_countries; Release_year; Runtime; tagline"
"1; Action, Adventure, Fantasy, Science Fiction; http://www.avatarmovie.com/;  Avatar; United States of America,United Kingdom; 2009; 162; Enter the World of Pandora."
"2;  Adventure, Fantasy, Action; ; Pirates of the Caribbean: At World's End; United States of America; 2007; 169; At the end of the world, the adventure begins."
"3; Action, Adventure, Crime; http://www.sonypictures.com/movies/spectre/ ; Spectre; United Kingdom,United States of America; 2015; 148; A Plan No One Escapes"
"4; Action,Crime,Drama,Thriller; http://www.thedarkknightrises.com/ ; The Dark Knight Rises; United States of America;; 2012; 165; The Legend Ends"
"5; Action, Adventure ,Science Fiction; http://movies.disney.com/john-carter ; John Carter; United States of America; 2012; 132; Lost in our world, found in another."
"6; Fantasy,Action,  Adventure; http://www.sonypictures.com/movies/spider-man3/; Spider-Man 3; United States of America; 2007; 139; The battle within."
"7;  Animation,Family; http://disney.go.com/disneypictures/tangled/ ; Tangled; United States of America;; 2010; 100; They're taking adventure to new lengths."
"8;  Action, Adventure,Science Fiction; http://marvel.com/movies/movie/193/avengers_age_of_ultron; Avengers: Age of Ultron; United States of America; 2015; 141; A New Age Has Come."
"9; Adventure, Fantasy, Family; http://harrypotter.warnerbros.com/harrypotterandthehalf-bloodprince/dvd/index.html; Harry Potter and the Half-Blood Prince; United Kingdom,United States of America; 2009; 153; Dark Secrets Revealed"
"10; Action, Adventure, Fantasy; http://www.batmanvsupermandawnofjustice.com/; Batman v Superman: Dawn of Justice;  United States of America; 2016; 151; Justice or revenge"
"11;  Adventure, Fantasy, Action,Science Fiction; http://www.superman.com; Superman Returns; United States of America; 2006; 154; "
"12;  Adventure, Action,Thriller,Crime; http://www.mgm.com/view/movie/234/Quantum-of-Solace/; Quantum of Solace; United KingdomUnited States of America; 2008; 106; For love, for hate, for justice, for revenge."
"13; Adventure,Fantasy, Action; http://disney.go.com/disneypictures/pirates/; Pirates of the Caribbean: Dead Man's Chest;  Jamaica, United States of America, Bahamas, Dominica; 2006; 151; Jack is back!"
"14;  Adventure, Family,Fantasy; ; The Chronicles of Narnia: The Voyage of the Dawn Treader; United States of America; 2010; 113; Return to magic. Return to hope. Return to Narnia."
"15; History, Romance,War; ; Pearl Harbor;  United States of America; 2001; 183; It takes a moment to change history. It takes love to change lives."
